celebrity_name,season,season_rule,placement,results,cumulative_total_score,overall_avg_score,week1_total_score,week1_avg_score,week2_total_score,week2_avg_score,week3_total_score,week3_avg_score,week4_total_score,week4_avg_score,week5_total_score,week5_avg_score,week6_total_score,week6_avg_score,week7_total_score,week7_avg_score,week8_total_score,week8_avg_score,week9_total_score,week9_avg_score,week10_total_score,week10_avg_score,week11_total_score,week11_avg_score
Kenny Mayne,2,Ranking,10,Eliminated Week 1,13.0,0.5416666666666666,13.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,
Harry Hamlin,3,Percentage,9,Eliminated Week 3,60.0,2.0,17.0,5.666666666666667,21.0,7.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Vivica A. Fox,3,Percentage,8,Eliminated Week 4,97.0,3.233333333333333,22.0,7.333333333333333,24.0,8.0,27.0,9.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Monique Coleman,3,Percentage,4,Eliminated Week 8,199.5,6.65,19.0,6.333333333333333,26.0,8.666666666666666,27.0,9.0,24.0,8.0,27.0,9.0,23.0,7.666666666666667,27.0,9.0,26.5,8.833333333333334,0.0,0.0,0.0,0.0,0.0,
Joey Lawrence,3,Percentage,3,3rd Place,233.0,7.7666666666666675,21.0,7.0,29.0,9.666666666666666,22.0,7.333333333333333,27.0,9.0,25.0,8.333333333333334,24.0,8.0,28.5,9.5,27.0,9.0,29.5,9.833333333333334,0.0,0.0,0.0,
Mario Lopez,3,Percentage,2,2nd Place,268.6666,8.955553333333334,26.0,8.666666666666666,21.0,7.0,22.0,7.333333333333333,29.0,9.666666666666666,27.0,9.0,28.0,9.333333333333334,28.0,9.333333333333334,28.5,9.5,29.5,9.833333333333334,29.666600000000003,9.888866666666667,0.0,
Emmitt Smith,3,Percentage,1,1st Place,257.6666,8.588886666666667,24.0,8.0,24.0,8.0,19.0,6.333333333333333,24.0,8.0,27.0,9.0,25.0,8.333333333333334,28.5,9.5,27.0,9.0,29.5,9.833333333333334,29.666600000000003,9.888866666666667,0.0,
Shanna Moakler,3,Percentage,10,Eliminated Week 2,40.0,1.3333333333333333,18.0,6.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Willa Ford,3,Percentage,7,Eliminated Week 5,122.0,4.066666666666667,22.0,7.333333333333333,23.0,7.666666666666667,22.0,7.333333333333333,28.0,9.333333333333334,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sara Evans,3,Percentage,6,Withdrew,105.0,3.5,15.0,5.0,21.0,7.0,25.0,8.333333333333334,20.0,6.666666666666667,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jerry Springer,3,Percentage,5,Eliminated Week 7,143.0,4.7666666666666675,16.0,5.333333333333333,19.0,6.333333333333333,21.0,7.0,22.0,7.333333333333333,24.0,8.0,18.0,6.0,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tucker Carlson,3,Percentage,11,Eliminated Week 1,12.0,0.4,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
John Ratzenberger,4,Percentage,6,Eliminated Week 7,133.5,4.45,17.0,5.666666666666667,21.0,7.0,20.0,6.666666666666667,16.0,5.333333333333333,18.0,6.0,19.0,6.333333333333333,22.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ian Ziering,4,Percentage,4,Eliminated Week 9,218.5,7.283333333333333,21.0,7.0,22.0,7.333333333333333,24.0,8.0,24.0,8.0,24.0,8.0,24.0,8.0,27.0,9.0,23.5,7.833333333333333,29.0,9.666666666666666,0.0,0.0,0.0,
Clyde Drexler,4,Percentage,8,Eliminated Week 5,78.0,2.5999999999999996,16.0,5.333333333333333,18.0,6.0,16.0,5.333333333333333,15.0,5.0,13.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Laila Ali,4,Percentage,3,3rd Place,262.33320000000003,8.74444,23.0,7.666666666666667,27.0,9.0,21.0,7.0,21.0,7.0,28.0,9.333333333333334,28.0,9.333333333333334,29.5,9.833333333333334,26.5,8.833333333333334,30.0,10.0,28.333200000000005,9.444400000000002,0.0,
Apolo Anton Ohno,4,Percentage,1,1st Place,268.8332,8.961106666666666,21.0,7.0,26.0,8.666666666666666,23.0,7.666666666666667,26.0,8.666666666666666,30.0,10.0,28.0,9.333333333333334,27.0,9.0,29.0,9.666666666666666,29.5,9.833333333333334,29.3332,9.777733333333334,0.0,
Shandi Finnessey,4,Percentage,10,Eliminated Week 3,60.0,2.0,19.0,6.333333333333333,20.0,6.666666666666667,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Paulina Porizkova,4,Percentage,11,Eliminated Week 2,40.0,1.3333333333333333,19.0,6.333333333333333,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Heather Mills,4,Percentage,7,Eliminated Week 6,133.0,4.433333333333334,18.0,6.0,24.0,8.0,24.0,8.0,23.0,7.666666666666667,21.0,7.0,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Billy Ray Cyrus,4,Percentage,5,Eliminated Week 8,152.0,5.066666666666667,13.0,4.333333333333333,21.0,7.0,21.0,7.0,21.0,7.0,17.0,5.666666666666667,21.0,7.0,19.0,6.333333333333333,19.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,
Joey Fatone,4,Percentage,2,2nd Place,267.6665,8.922216666666667,24.0,8.0,24.0,8.0,24.0,8.0,28.0,9.333333333333334,25.0,8.333333333333334,27.0,9.0,29.5,9.833333333333334,27.5,9.166666666666666,30.0,10.0,28.6665,9.5555,0.0,
Leeza Gibbons,4,Percentage,9,Eliminated Week 4,76.0,2.533333333333333,15.0,5.0,21.0,7.0,24.0,8.0,16.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cameron Mathison,5,Percentage,5,Eliminated Week 8,194.0,6.466666666666667,21.0,7.0,21.0,7.0,23.0,7.666666666666667,27.0,9.0,26.0,8.666666666666666,25.0,8.333333333333334,25.5,8.5,25.5,8.5,0.0,0.0,0.0,0.0,0.0,
Jane Seymour,5,Percentage,6,Eliminated Week 7,171.0,5.7,24.0,8.0,21.0,7.0,27.0,9.0,26.0,8.666666666666666,26.0,8.666666666666666,22.0,7.333333333333333,25.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sabrina Bryan,5,Percentage,7,Eliminated Week 6,162.0,5.4,26.0,8.666666666666666,26.0,8.666666666666666,27.0,9.0,30.0,10.0,28.0,9.333333333333334,25.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jennie Garth,5,Percentage,4,Eliminated Week 9,227.5,7.583333333333333,21.0,7.0,21.0,7.0,26.0,8.666666666666666,27.0,9.0,25.0,8.333333333333334,27.0,9.0,26.5,8.833333333333334,25.0,8.333333333333334,29.0,9.666666666666666,0.0,0.0,0.0,
Floyd Mayweather Jr. ,5,Percentage,9,Eliminated Week 4,83.0,2.7666666666666666,18.0,6.0,21.0,7.0,21.0,7.0,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Josie Maran,5,Percentage,12,Eliminated Week 1,16.0,0.5333333333333333,16.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albert Reed,5,Percentage,11,Eliminated Week 2,42.0,1.4,21.0,7.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Helio Castroneves,5,Percentage,1,1st Place,266.4999,8.88333,25.0,8.333333333333334,27.0,9.0,24.0,8.0,27.0,9.0,23.0,7.666666666666667,28.0,9.333333333333334,26.0,8.666666666666666,28.5,9.5,30.0,10.0,27.999900000000004,9.333300000000001,0.0,
Mel B,5,Percentage,2,2nd Place,272.3332,9.077773333333333,24.0,8.0,23.0,7.666666666666667,27.0,9.0,26.0,8.666666666666666,29.0,9.666666666666666,30.0,10.0,27.0,9.0,28.0,9.333333333333334,30.0,10.0,28.333199999999998,9.4444,0.0,
Wayne Newton,5,Percentage,10,Eliminated Week 3,52.0,1.7333333333333332,19.0,6.333333333333333,15.0,5.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marie Osmond,5,Percentage,3,3rd Place,242.5,8.083333333333332,21.0,7.0,24.0,8.0,26.0,8.666666666666666,26.0,8.666666666666666,21.0,7.0,23.0,7.666666666666667,26.0,8.666666666666666,24.5,8.166666666666666,28.0,9.333333333333334,23.0,7.666666666666667,0.0,
Mark Cuban,5,Percentage,8,Eliminated Week 5,102.0,3.4,21.0,7.0,18.0,6.0,20.0,6.666666666666667,22.0,7.333333333333333,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cristian de la Fuente,6,Percentage,3,3rd Place,247.5,8.25,21.0,7.0,20.0,6.666666666666667,25.0,8.333333333333334,26.0,8.666666666666666,23.0,7.666666666666667,27.0,9.0,23.0,7.666666666666667,28.5,9.5,28.0,9.333333333333334,26.0,8.666666666666666,0.0,
Steve Guttenberg,6,Percentage,10,Eliminated Week 3,55.0,1.8333333333333333,18.0,6.0,16.0,5.333333333333333,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Priscilla Presley,6,Percentage,8,Eliminated Week 5,114.0,3.8,24.0,8.0,21.0,7.0,26.0,8.666666666666666,22.0,7.333333333333333,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marlee Matlin,6,Percentage,7,Eliminated Week 6,134.0,4.466666666666667,22.0,7.333333333333333,24.0,8.0,21.0,7.0,24.0,8.0,22.0,7.333333333333333,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Shannon Elizabeth,6,Percentage,6,Eliminated Week 7,169.5,5.65,21.0,7.0,24.0,8.0,24.0,8.0,28.0,9.333333333333334,23.0,7.666666666666667,24.0,8.0,25.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marissa Jaret Winokur,6,Percentage,4,Eliminated Week 9,209.0,6.966666666666667,18.0,6.0,21.0,7.0,19.0,6.333333333333333,24.0,8.0,24.0,8.0,26.0,8.666666666666666,26.0,8.666666666666666,25.0,8.333333333333334,26.0,8.666666666666666,0.0,0.0,0.0,
Jason Taylor,6,Percentage,2,2nd Place,261.5,8.716666666666667,22.0,7.333333333333333,27.0,9.0,23.0,7.666666666666667,29.0,9.666666666666666,27.0,9.0,24.0,8.0,27.5,9.166666666666666,26.0,8.666666666666666,27.5,9.166666666666666,28.5,9.5,0.0,
Kristi Yamaguchi,6,Percentage,1,1st Place,282.0,9.4,27.0,9.0,27.0,9.0,27.0,9.0,29.0,9.666666666666666,29.0,9.666666666666666,30.0,10.0,27.0,9.0,27.5,9.166666666666666,28.5,9.5,30.0,10.0,0.0,
Monica Seles,6,Percentage,11,Eliminated Week 2,30.0,1.0,15.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Penn Jillette,6,Percentage,12,Eliminated Week 2,33.0,1.1,16.0,5.333333333333333,17.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Carolla,6,Percentage,9,Eliminated Week 4,74.0,2.4666666666666663,15.0,5.0,19.0,6.333333333333333,21.0,7.0,19.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mario,6,Percentage,5,Eliminated Week 8,202.0,6.733333333333334,24.0,8.0,26.0,8.666666666666666,21.0,7.0,24.0,8.0,27.0,9.0,28.0,9.333333333333334,25.5,8.5,26.5,8.833333333333334,0.0,0.0,0.0,0.0,0.0,
Ted McGinley,7,Percentage,12,Eliminated Week 1,18.5,0.6166666666666667,18.5,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cloris Leachman,7,Percentage,7,Eliminated Week 6,105.0,3.5,16.0,5.333333333333333,15.0,5.0,16.0,5.333333333333333,22.0,7.333333333333333,21.0,7.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Susan Lucci,7,Percentage,6,Eliminated Week 7,153.5,5.116666666666667,18.5,6.166666666666667,21.0,7.0,21.0,7.0,24.0,8.0,22.0,7.333333333333333,23.0,7.666666666666667,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cody Linley,7,Percentage,4,Eliminated Week 9,205.5,6.85,20.5,6.833333333333333,21.0,7.0,21.0,7.0,23.0,7.666666666666667,28.0,9.333333333333334,23.0,7.666666666666667,22.0,7.333333333333333,24.0,8.0,23.0,7.666666666666667,0.0,0.0,0.0,
Misty May-Treanor,7,Percentage,10,Withdrew,42.0,1.4,21.0,7.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Maurice Greene,7,Percentage,5,Eliminated Week 8,179.5,5.983333333333333,19.5,6.5,19.0,6.333333333333333,24.0,8.0,20.0,6.666666666666667,27.0,9.0,21.0,7.0,25.0,8.333333333333334,24.0,8.0,0.0,0.0,0.0,0.0,0.0,
Warren Sapp,7,Percentage,2,2nd Place,242.5,8.083333333333334,21.5,7.166666666666667,24.0,8.0,25.0,8.333333333333334,22.0,7.333333333333333,25.0,8.333333333333334,25.0,8.333333333333334,21.0,7.0,27.0,9.0,24.5,8.166666666666666,27.5,9.166666666666666,0.0,
Jeffrey Ross,7,Percentage,13,Eliminated Week 1,12.0,0.4,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Toni Braxton,7,Percentage,8,Eliminated Week 5,111.5,3.7166666666666672,22.5,7.5,23.0,7.666666666666667,22.0,7.333333333333333,22.0,7.333333333333333,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lance Bass,7,Percentage,3,3rd Place,243.5,8.116666666666667,21.5,7.166666666666667,20.0,6.666666666666667,22.0,7.333333333333333,26.0,8.666666666666666,21.0,7.0,27.0,9.0,25.0,8.333333333333334,25.0,8.333333333333334,28.5,9.5,27.5,9.166666666666666,0.0,
Kim Kardashian,7,Percentage,11,Eliminated Week 2,35.5,1.1833333333333333,18.5,6.166666666666667,17.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rocco DiSpirito,7,Percentage,9,Eliminated Week 4,71.5,2.3833333333333337,17.5,5.833333333333333,16.0,5.333333333333333,20.0,6.666666666666667,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brooke Burke,7,Percentage,1,1st Place,269.5,8.983333333333333,24.5,8.166666666666666,24.0,8.0,28.0,9.333333333333334,26.0,8.666666666666666,29.0,9.666666666666666,26.0,8.666666666666666,30.0,10.0,27.5,9.166666666666666,24.5,8.166666666666666,30.0,10.0,0.0,
Gilles Marini,8,Percentage,2,2nd Place,304.5,9.227272727272727,24.0,8.0,27.0,9.0,27.0,9.0,30.0,10.0,29.0,9.666666666666666,26.0,8.666666666666666,27.0,9.0,27.5,9.166666666666666,28.0,9.333333333333334,30.0,10.0,29.0,9.666666666666666
Denise Richards,8,Percentage,12,Eliminated Week 3,55.0,1.6666666666666665,18.0,6.0,21.0,7.0,16.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Alan Grier,8,Percentage,9,Eliminated Week 5,104.0,3.1515151515151514,19.0,6.333333333333333,17.0,5.666666666666667,24.0,8.0,22.0,7.333333333333333,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawrence Taylor,8,Percentage,7,Eliminated Week 7,138.0,4.181818181818182,16.0,5.333333333333333,20.0,6.666666666666667,20.0,6.666666666666667,19.0,6.333333333333333,20.0,6.666666666666667,22.0,7.333333333333333,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ty Murray,8,Percentage,4,Eliminated Week 10,218.0,6.606060606060606,14.0,4.666666666666667,20.0,6.666666666666667,23.0,7.666666666666667,25.0,8.333333333333334,21.0,7.0,18.0,6.0,24.0,8.0,26.0,8.666666666666666,23.0,7.666666666666667,24.0,8.0,0.0,0.0
Shawn Johnson,8,Percentage,1,1st Place,291.0,8.818181818181817,23.0,7.666666666666667,24.0,8.0,27.0,9.0,25.0,8.333333333333334,26.0,8.666666666666666,26.0,8.666666666666666,28.0,9.333333333333334,26.0,8.666666666666666,28.0,9.333333333333334,28.0,9.333333333333334,30.0,10.0
Steve Wozniak,8,Percentage,10,Eliminated Week 4,52.0,1.575757575757576,13.0,4.333333333333333,17.0,5.666666666666667,10.0,3.3333333333333335,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belinda Carlisle,8,Percentage,13,Eliminated Week 2,35.0,1.0606060606060608,17.0,5.666666666666667,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuck Wicks,8,Percentage,6,Eliminated Week 8,183.5,5.560606060606061,20.0,6.666666666666667,20.0,6.666666666666667,23.0,7.666666666666667,22.0,7.333333333333333,23.0,7.666666666666667,23.0,7.666666666666667,27.0,9.0,25.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0
Lil' Kim,8,Percentage,5,Eliminated Week 9,230.0,6.96969696969697,21.0,7.0,23.0,7.666666666666667,25.0,8.333333333333334,27.0,9.0,26.0,8.666666666666666,28.0,9.333333333333334,26.0,8.666666666666666,28.0,9.333333333333334,26.0,8.666666666666666,0.0,0.0,0.0,0.0
Steve-O,8,Percentage,8,Eliminated Week 6,95.0,2.878787878787879,17.0,5.666666666666667,14.0,4.666666666666667,15.0,5.0,15.0,5.0,18.0,6.0,16.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holly Madison,8,Percentage,11,Eliminated Week 4,69.0,2.090909090909091,18.0,6.0,18.0,6.0,17.0,5.666666666666667,16.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melissa Rycroft,8,Percentage,3,3rd Place,293.5,8.893939393939394,23.0,7.666666666666667,26.0,8.666666666666666,27.0,9.0,29.0,9.666666666666666,25.0,8.333333333333334,27.0,9.0,29.0,9.666666666666666,23.0,7.666666666666667,28.5,9.5,27.5,9.166666666666666,28.5,9.5
Ashley Hamiliton,9,Percentage,16,Eliminated Week 1,18.9999,0.6333300000000001,18.9999,6.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Debi Mazar,9,Percentage,12,Eliminated Week 3,60.0,2.0,22.0,7.333333333333333,21.0,7.0,17.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Melissa Joan Hart,9,Percentage,9,Eliminated Week 6,136.9999,4.5666633333333335,24.0,8.0,19.0,6.333333333333333,19.0,6.333333333333333,28.0,9.333333333333334,23.0,7.666666666666667,23.9999,7.9999666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mark Dacascos,9,Percentage,6,Eliminated Week 7,169.4998,5.649993333333333,28.9998,9.6666,21.0,7.0,18.0,6.0,22.0,7.333333333333333,26.0,8.666666666666666,32.0,10.666666666666666,21.5,7.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chuck Liddell,9,Percentage,11,Eliminated Week 4,75.0,2.5,22.0,7.333333333333333,19.0,6.333333333333333,17.0,5.666666666666667,17.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Natalie Coughlin,9,Percentage,10,Eliminated Week 5,119.9998,3.9999933333333333,26.9998,8.999933333333333,21.0,7.0,26.0,8.666666666666666,24.0,8.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Louie Vito,9,Percentage,8,Eliminated Week 6,127.9998,4.26666,26.9998,8.999933333333333,19.0,6.333333333333333,20.0,6.666666666666667,16.0,5.333333333333333,22.0,7.333333333333333,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michael Irvin,9,Percentage,7,Eliminated Week 7,135.4998,4.51666,19.0,6.333333333333333,20.0,6.666666666666667,14.0,4.666666666666667,16.0,5.333333333333333,21.0,7.0,21.9998,7.333266666666667,23.5,7.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joanna Krupa,9,Percentage,4,Eliminated Week 9,243.4998,8.11666,33.9999,11.3333,20.0,6.666666666666667,23.0,7.666666666666667,26.0,8.666666666666666,24.0,8.0,35.9999,11.999966666666666,27.5,9.166666666666666,26.0,8.666666666666666,27.0,9.0,0.0,0.0,0.0,
Kathy Ireland,9,Percentage,14,Eliminated Week 2,37.9999,1.2666633333333333,19.9999,6.666633333333333,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tom DeLay,9,Percentage,13,Withdrew,52.9999,1.7666633333333333,19.9999,6.666633333333333,18.0,6.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Macy Gray,9,Percentage,15,Eliminated Week 1,18.9999,0.6333300000000001,18.9999,6.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
