celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,cumulative_total_score,overall_avg_score,score_trend,industry_encoded,country_encoded,active_weeks,is_winner,final_rank,age,age_group,age_group_encoded,industry_group,industry_Entertainment,industry_Sports,industry_Reality/Model,industry_Media,industry_Other,region,is_us,region_encoded
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,4,218.5,7.283333333333333,0.236111111111111,0,22,9,False,,42,Mature (35-44),0,Entertainment,1,0,0,0,0,Northeast,1,2
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,8,78.0,2.6,-0.3,4,22,5,False,,44,Mature (35-44),0,Sports,0,1,0,0,0,Southeast,1,4
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3,262.33320000000003,8.74444,0.2464622222222223,4,22,10,False,3.0,29,Prime (25-34),1,Sports,0,1,0,0,0,Southeast,1,4
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1,268.8332,8.961106666666666,0.2636339393939394,4,22,10,True,1.0,24,Young (<25),4,Sports,0,1,0,0,0,West,1,6
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,10,60.0,2.0,0.3333333333333335,2,22,3,False,,28,Prime (25-34),1,Other,0,0,0,0,1,Midwest,1,0
Paulina Porizkova,Alec Mazo,Model,Unknown,Czechoslovakia,41,4,11,40.0,1.3333333333333333,0.666666666666667,3,7,2,False,,41,Mature (35-44),0,Reality/Model,0,0,1,0,0,Non-US,0,1
Heather Mills,Jonathan Roberts,Model,Unknown,England,39,4,7,133.0,4.433333333333334,0.1428571428571429,3,8,6,False,,39,Mature (35-44),0,Reality/Model,0,0,1,0,0,Non-US,0,1
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,5,152.0,5.066666666666667,0.111111111111111,0,22,8,False,,45,Senior (45-54),2,Entertainment,1,0,0,0,0,Southeast,1,4
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2,267.6665,8.922216666666667,0.2181787878787879,0,22,10,False,2.0,30,Prime (25-34),1,Entertainment,1,0,0,0,0,Northeast,1,2
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,9,76.0,2.533333333333333,0.1999999999999999,3,22,4,False,,50,Senior (45-54),2,Reality/Model,0,0,1,0,0,Southeast,1,4
Cameron Mathison,Edyta Sliwinska,Actor/Actress,Unknown,Canada,38,5,5,194.0,6.466666666666667,0.2341269841269841,0,3,8,False,,38,Mature (35-44),0,Entertainment,1,0,0,0,0,Non-US,0,1
Jane Seymour,Tony Dovolani,Actor/Actress,Unknown,England,56,5,6,171.0,5.7,0.0476190476190476,0,8,7,False,,56,Veteran (55+),3,Entertainment,1,0,0,0,0,Non-US,0,1
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,7,162.0,5.4,0.0380952380952383,0,22,6,False,,23,Young (<25),4,Entertainment,1,0,0,0,0,West,1,6
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,4,227.5,7.583333333333333,0.25,0,22,9,False,,35,Mature (35-44),0,Entertainment,1,0,0,0,0,Midwest,1,0
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,9,83.0,2.7666666666666666,0.5000000000000001,4,22,4,False,,30,Prime (25-34),1,Sports,0,1,0,0,0,Midwest,1,0
Josie Maran,Alec Mazo,Model,California,United States,29,5,12,16.0,0.5333333333333333,0.0,3,22,1,False,,29,Prime (25-34),1,Reality/Model,0,0,1,0,0,West,1,6
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,11,42.0,1.4,0.0,3,22,2,False,,22,Young (<25),4,Reality/Model,0,0,1,0,0,Southeast,1,4
Helio Castroneves,Julianne Hough,Racing Driver,Unknown,Brazil,32,5,1,266.4999,8.88333,0.1464628282828283,2,2,10,True,1.0,32,Prime (25-34),1,Other,0,0,0,0,1,Non-US,0,1
Mel B,Maksim Chmerkoskiy,Singer/Rapper,Unknown,England,32,5,2,272.3332,9.077773333333331,0.1959571717171717,0,8,10,False,2.0,32,Prime (25-34),1,Entertainment,1,0,0,0,0,Non-US,0,1
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,10,52.0,1.7333333333333332,-0.1666666666666665,0,22,3,False,,65,Veteran (55+),3,Entertainment,1,0,0,0,0,Southeast,1,4
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3,242.5,8.083333333333332,0.0818181818181818,0,22,10,False,3.0,47,Senior (45-54),2,Entertainment,1,0,0,0,0,West,1,6
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,8,102.0,3.4,0.1333333333333333,3,22,5,False,,49,Senior (45-54),2,Reality/Model,0,0,1,0,0,Northeast,1,2
Cristian de la Fuente,Cheryl Burke,Actor/Actress,Unknown,Chile,34,6,3,247.5,8.25,0.2292929292929293,0,4,10,False,3.0,34,Prime (25-34),1,Entertainment,1,0,0,0,0,Non-US,0,1
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,10,55.0,1.8333333333333333,0.5,0,22,3,False,,49,Senior (45-54),2,Entertainment,1,0,0,0,0,Northeast,1,2
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,8,114.0,3.8,-0.1666666666666667,0,22,5,False,,62,Veteran (55+),3,Entertainment,1,0,0,0,0,Northeast,1,2
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,7,134.0,4.466666666666667,-0.0761904761904761,0,22,6,False,,42,Mature (35-44),0,Entertainment,1,0,0,0,0,Midwest,1,0
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,6,169.5,5.65,0.1488095238095238,0,22,7,False,,34,Prime (25-34),1,Entertainment,1,0,0,0,0,Southwest,1,5
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,4,209.0,6.966666666666667,0.3333333333333333,0,22,9,False,,35,Mature (35-44),0,Entertainment,1,0,0,0,0,Northeast,1,2
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2,261.5,8.716666666666667,0.1404040404040403,4,22,10,False,2.0,33,Prime (25-34),1,Sports,0,1,0,0,0,Northeast,1,2
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1,282.0,9.4,0.0707070707070707,4,22,10,True,1.0,36,Mature (35-44),0,Sports,0,1,0,0,0,West,1,6
Monica Seles,Jonathan Roberts,Athlete,Unknown,Yugoslavia,34,6,11,30.0,1.0,0.0,4,25,2,False,,34,Prime (25-34),1,Sports,0,1,0,0,0,Non-US,0,1
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,12,33.0,1.1,0.3333333333333339,2,22,2,False,,53,Senior (45-54),2,Other,0,0,0,0,1,Northeast,1,2
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,9,74.0,2.4666666666666663,0.4666666666666666,2,22,4,False,,43,Mature (35-44),0,Other,0,0,0,0,1,West,1,6
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,5,202.0,6.733333333333334,0.1547619047619048,0,22,8,False,,21,Young (<25),4,Entertainment,1,0,0,0,0,Southeast,1,4
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,12,18.5,0.6166666666666667,0.0,0,22,1,False,,50,Senior (45-54),2,Entertainment,1,0,0,0,0,West,1,6
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,7,105.0,3.5,0.180952380952381,0,22,6,False,,82,Veteran (55+),3,Entertainment,1,0,0,0,0,Midwest,1,0
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,6,153.5,5.116666666666667,0.2559523809523809,0,22,7,False,,61,Veteran (55+),3,Entertainment,1,0,0,0,0,Northeast,1,2
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,4,205.5,6.85,0.1166666666666667,0,22,9,False,,18,Young (<25),4,Entertainment,1,0,0,0,0,Southwest,1,5
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,10,42.0,1.4,0.0,4,22,2,False,,31,Prime (25-34),1,Sports,0,1,0,0,0,West,1,6
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,5,179.5,5.983333333333333,0.2361111111111112,4,22,8,False,,34,Prime (25-34),1,Sports,0,1,0,0,0,Midwest,1,0
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2,242.5,8.083333333333334,0.1303030303030302,4,22,10,False,2.0,35,Mature (35-44),0,Sports,0,1,0,0,0,Southeast,1,4
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,13,12.0,0.4,0.0,2,22,1,False,,43,Mature (35-44),0,Other,0,0,0,0,1,Northeast,1,2
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,8,111.5,3.7166666666666672,-0.0666666666666667,0,22,5,False,,40,Mature (35-44),0,Entertainment,1,0,0,0,0,Southeast,1,4
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3,243.5,8.116666666666667,0.2656565656565656,0,22,10,False,3.0,29,Prime (25-34),1,Entertainment,1,0,0,0,0,Southeast,1,4
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,11,35.5,1.1833333333333331,-0.5,3,22,2,False,,27,Prime (25-34),1,Reality/Model,0,0,1,0,0,West,1,6
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,9,71.5,2.3833333333333337,0.1833333333333335,3,22,4,False,,41,Mature (35-44),0,Reality/Model,0,0,1,0,0,Northeast,1,2
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1,269.5,8.983333333333333,0.1202020202020201,3,22,10,True,1.0,37,Mature (35-44),0,Reality/Model,0,0,1,0,0,Northeast,1,2
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2,304.5,9.227272727272728,0.0999999999999999,0,9,11,False,2.0,33,Prime (25-34),1,Entertainment,1,0,0,0,0,Non-US,0,1
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,12,55.0,1.6666666666666663,-0.3333333333333335,0,22,3,False,,38,Mature (35-44),0,Entertainment,1,0,0,0,0,Midwest,1,0
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,9,104.0,3.1515151515151514,0.3666666666666666,0,22,5,False,,52,Senior (45-54),2,Entertainment,1,0,0,0,0,Midwest,1,0
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,7,138.0,4.181818181818182,0.2261904761904761,4,22,7,False,,50,Senior (45-54),2,Sports,0,1,0,0,0,Southeast,1,4
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,4,218.0,6.606060606060606,0.2424242424242424,4,22,10,False,,39,Mature (35-44),0,Sports,0,1,0,0,0,Southwest,1,5
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1,291.0,8.818181818181817,0.1757575757575757,4,22,11,True,1.0,17,Young (<25),4,Sports,0,1,0,0,0,Midwest,1,0
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,10,52.0,1.575757575757576,-0.3333333333333332,2,22,4,False,,58,Veteran (55+),3,Other,0,0,0,0,1,West,1,6
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,13,35.0,1.0606060606060608,0.333333333333333,0,22,2,False,,50,Senior (45-54),2,Entertainment,1,0,0,0,0,West,1,6
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,6,183.5,5.560606060606061,0.2956349206349206,0,22,8,False,,29,Prime (25-34),1,Entertainment,1,0,0,0,0,Southeast,1,4
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,5,230.0,6.96969696969697,0.211111111111111,0,22,9,False,,34,Prime (25-34),1,Entertainment,1,0,0,0,0,Northeast,1,2
Steve-O,Lacey Schwimmer,TV Personality,Unknown,England,34,8,8,95.0,2.878787878787879,0.0666666666666665,3,8,6,False,,34,Prime (25-34),1,Reality/Model,0,0,1,0,0,Non-US,0,1
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,11,69.0,2.090909090909091,-0.2333333333333334,3,22,4,False,,30,Prime (25-34),1,Reality/Model,0,0,1,0,0,West,1,6
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3,293.5,8.893939393939394,0.0909090909090909,3,22,11,False,3.0,26,Prime (25-34),1,Reality/Model,0,0,1,0,0,Southwest,1,5
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,16,18.9999,0.6333300000000001,0.0,0,22,1,False,,34,Prime (25-34),1,Entertainment,1,0,0,0,0,West,1,6
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,12,60.0,2.0,-0.833333333333333,0,22,3,False,,45,Senior (45-54),2,Entertainment,1,0,0,0,0,Northeast,1,2
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,9,136.9999,4.5666633333333335,0.1999952380952381,0,22,6,False,,33,Prime (25-34),1,Entertainment,1,0,0,0,0,Northeast,1,2
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,6,169.4998,5.649993333333333,0.089292857142857,0,22,7,False,,45,Senior (45-54),2,Entertainment,1,0,0,0,0,West,1,6
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,11,75.0,2.5,-0.5666666666666664,4,22,4,False,,39,Mature (35-44),0,Sports,0,1,0,0,0,West,1,6
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,10,119.9998,3.999993333333333,-0.2333199999999999,4,22,5,False,,27,Prime (25-34),1,Sports,0,1,0,0,0,West,1,6
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,8,127.9998,4.26666,-0.0952285714285714,4,22,6,False,,21,Young (<25),4,Sports,0,1,0,0,0,Midwest,1,0
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,7,135.4998,4.51666,0.2916619047619047,4,22,7,False,,43,Mature (35-44),0,Sports,0,1,0,0,0,Southeast,1,4
Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,9,4,243.4998,8.11666,0.0500016666666666,3,16,9,False,,30,Prime (25-34),1,Reality/Model,0,0,1,0,0,Non-US,0,1
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,14,37.9999,1.2666633333333333,-0.6666333333333334,3,22,2,False,,46,Senior (45-54),2,Reality/Model,0,0,1,0,0,West,1,6
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,13,52.9999,1.7666633333333333,-0.8333166666666666,2,22,3,False,,62,Veteran (55+),3,Other,0,0,0,0,1,Southwest,1,5
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,15,18.9999,0.6333300000000001,0.0,0,22,1,False,,42,Mature (35-44),0,Entertainment,1,0,0,0,0,Midwest,1,0
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,5,206.4997,6.883323333333334,-0.0376980158730156,0,22,8,False,,21,Young (<25),4,Entertainment,1,0,0,0,0,Southeast,1,4
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2,284.333,9.477766666666668,-0.0040424242424242,0,22,10,False,2.0,29,Prime (25-34),1,Entertainment,1,0,0,0,0,Other-US,1,3
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1,264.6662,8.822206666666668,0.0336670707070708,0,22,10,True,1.0,51,Senior (45-54),2,Entertainment,1,0,0,0,0,West,1,6
Kelly Osbourne,Louis van Amstel,TV Personality,Unknown,England,24,9,3,244.7216,8.157386666666666,0.0696969696969697,3,8,10,False,3.0,24,Young (<25),4,Reality/Model,0,0,1,0,0,Non-US,0,1
Aiden Turner,Edyta Sliwinska,Actor/Actress,Unknown,England,32,10,9,70.5,2.35,0.1833333333333334,0,8,4,False,,32,Prime (25-34),1,Entertainment,1,0,0,0,0,Non-US,0,1
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,11,38.0,1.2666666666666668,0.666666666666667,0,22,2,False,,38,Mature (35-44),0,Entertainment,1,0,0,0,0,Southeast,1,4
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,5,167.9998,5.599993333333333,0.2261880952380952,0,22,8,False,,40,Mature (35-44),0,Entertainment,1,0,0,0,0,West,1,6
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,10,39.0,1.3,-0.1666666666666669,2,22,3,False,,80,Veteran (55+),3,Other,0,0,0,0,1,Northeast,1,2
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,4,199.4999,6.649996666666667,0.4027772222222222,4,22,9,False,,32,Prime (25-34),1,Sports,0,1,0,0,0,Southeast,1,4
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2,262.8887,8.762956666666668,0.1595925252525252,4,22,10,False,2.0,24,Young (<25),4,Sports,0,1,0,0,0,Midwest,1,0
Pamela Anderson,Damian Whitewood,Model,Unknown,Canada,42,10,6,163.9998,5.466659999999999,0.3511857142857142,3,3,7,False,,42,Mature (35-44),0,Reality/Model,0,0,1,0,0,Non-US,0,1
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1,280.7776,9.359253333333331,0.1818165656565656,0,22,10,True,1.0,31,Prime (25-34),1,Entertainment,1,0,0,0,0,West,1,6
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3,249.4998,8.31666,0.2757539393939394,4,22,10,False,3.0,32,Prime (25-34),1,Sports,0,1,0,0,0,Northeast,1,2
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,8,77.0,2.5666666666666664,-0.0333333333333333,3,22,5,False,,35,Mature (35-44),0,Reality/Model,0,0,1,0,0,Northeast,1,2
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,7,127.9999,4.266663333333333,0.3047571428571427,3,22,6,False,,32,Prime (25-34),1,Reality/Model,0,0,1,0,0,Southwest,1,5
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,12,15.0,0.5,0.0,0,22,1,False,,58,Veteran (55+),3,Entertainment,1,0,0,0,0,Southeast,1,4
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,8,95.5,3.183333333333333,0.15,0,22,5,False,,76,Veteran (55+),3,Entertainment,1,0,0,0,0,Midwest,1,0
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2,255.8331,8.248603333333332,0.2795428282828282,0,22,10,False,2.0,19,Young (<25),4,Entertainment,1,0,0,0,0,Southeast,1,4
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1,279.0,8.995833333333334,0.2436868686868687,0,22,10,True,1.0,50,Senior (45-54),2,Entertainment,1,0,0,0,0,Northeast,1,2
Rick Fox,Cheryl Burke,Athlete,Unknown,Canada,41,11,6,175.0,5.5458333333333325,0.3526785714285714,4,3,7,False,,41,Mature (35-44),0,Sports,0,1,0,0,0,Non-US,0,1
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,5,184.9999,5.874996666666666,0.2589273809523809,4,22,8,False,,39,Mature (35-44),0,Sports,0,1,0,0,0,Midwest,1,0
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,10,51.0,1.7,0.5,2,22,3,False,,41,Mature (35-44),0,Other,0,0,0,0,1,West,1,6
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,11,28.0,0.9333333333333332,-1.333333333333333,0,22,2,False,,57,Veteran (55+),3,Entertainment,1,0,0,0,0,Northeast,1,2
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,4,248.4999,7.979163333333334,0.3513883333333333,0,22,9,False,,31,Prime (25-34),1,Entertainment,1,0,0,0,0,Southeast,1,4
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,9,67.0,2.2333333333333334,-0.0333333333333332,3,22,4,False,,28,Prime (25-34),1,Reality/Model,0,0,1,0,0,Northeast,1,2
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,7,145.9998,4.86666,0.5904666666666669,3,22,6,False,,25,Prime (25-34),1,Reality/Model,0,0,1,0,0,West,1,6
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3,229.1664,7.368046666666666,0.3194428282828285,3,22,10,False,3.0,19,Young (<25),4,Reality/Model,0,0,1,0,0,West,1,6
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,4,217.0,6.958333333333334,0.0694444444444444,0,22,9,False,,49,Senior (45-54),2,Entertainment,1,0,0,0,0,Northeast,1,2
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3,267.6666,8.655553333333334,0.4565644444444445,0,22,10,False,3.0,22,Young (<25),4,Entertainment,1,0,0,0,0,Southwest,1,5
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2,246.4999,7.966663333333334,0.2545436363636363,0,22,10,False,2.0,60,Veteran (55+),3,Entertainment,1,0,0,0,0,Midwest,1,0
Hines Ward,Kym Johnson,Athlete,Unknown,South Korea,35,12,1,267.6666,8.64722,0.2752513131313131,4,19,10,True,1.0,35,Mature (35-44),0,Sports,0,1,0,0,0,Non-US,0,1
