celebrity_name,season,week,season_rule,judge_score,estimated_fan_vote_pct,placement
George Hamilton,2,3,Ranking,22.0,0.1449998173784916,5
Lisa Rinna,2,3,Ranking,25.0,0.20947556670985645,4
Stacy Keibler,2,3,Ranking,27.0,0.21633509068199933,3
Jerry Rice,2,3,Ranking,19.0,0.0,2
Giselle Fernandez,2,3,Ranking,22.0,0.0,8
Master P,2,3,Ranking,14.0,0.0,7
Drew Lachey,2,3,Ranking,27.0,0.21635619365348985,1
Tia Carrere,2,4,Ranking,25.0,0.16651779859412205,6
George Hamilton,2,4,Ranking,21.0,0.15982135246082693,5
Lisa Rinna,2,4,Ranking,26.0,0.16830357098194532,4
Stacy Keibler,2,4,Ranking,26.0,0.16830357098194532,3
Jerry Rice,2,4,Ranking,24.0,0.1651785907386194,2
Master P,2,4,Ranking,8.0,0.0,7
Drew Lachey,2,4,Ranking,28.0,0.17187511624254107,1
Tia Carrere,2,5,Ranking,22.0,0.0,6
George Hamilton,2,5,Ranking,24.0,0.08928281539945421,5
Lisa Rinna,2,5,Ranking,25.0,0.08928281539945421,4
Stacy Keibler,2,5,Ranking,30.0,0.5031382449451145,3
Jerry Rice,2,5,Ranking,23.0,0.08928281539945421,2
Drew Lachey,2,5,Ranking,27.0,0.2290133088565228,1
George Hamilton,2,6,Ranking,23.0,0.0,5
Lisa Rinna,2,6,Ranking,27.0,0.21999999727900404,4
Stacy Keibler,2,6,Ranking,30.0,0.39000192408248036,3
Jerry Rice,2,6,Ranking,23.0,0.0,2
Drew Lachey,2,6,Ranking,30.0,0.3899980786385157,1
Lisa Rinna,2,7,Ranking,26.5,0.0029663425996892152,4
Stacy Keibler,2,7,Ranking,27.5,0.5229663857660719,3
Jerry Rice,2,7,Ranking,20.5,0.12011594667484679,2
Drew Lachey,2,7,Ranking,27.5,0.35395132495939213,1
Stacy Keibler,2,8,Ranking,28.6665,0.339916327369814,3
Jerry Rice,2,8,Ranking,26.666600000000003,0.3162177858357476,2
Drew Lachey,2,8,Ranking,28.9998,0.34386588679443836,1
Harry Hamlin,3,1,Percentage,17.0,0.08978661579006224,9
Vivica A. Fox,3,1,Percentage,22.0,0.09303627401158186,8
Monique Coleman,3,1,Percentage,19.0,0.09108635823943022,4
Joey Lawrence,3,1,Percentage,21.0,0.09238625176150263,3
Mario Lopez,3,1,Percentage,26.0,0.0956357337806444,2
Emmitt Smith,3,1,Percentage,24.0,0.09433586552000275,1
Shanna Moakler,3,1,Percentage,18.0,0.09043648702971702,10
Willa Ford,3,1,Percentage,22.0,0.09303612301167387,7
Sara Evans,3,1,Percentage,15.0,0.08848642031720565,6
Jerry Springer,3,1,Percentage,16.0,0.08913659350313961,5
Tucker Carlson,3,1,Percentage,12.0,0.08263727703503967,11
Harry Hamlin,3,2,Percentage,21.0,0.09628252547705902,9
Vivica A. Fox,3,2,Percentage,24.0,0.10867381999567496,8
Monique Coleman,3,2,Percentage,26.0,0.11693478316970199,4
Joey Lawrence,3,2,Percentage,29.0,0.129326038042532,3
Mario Lopez,3,2,Percentage,21.0,0.09628252547705902,2
Emmitt Smith,3,2,Percentage,24.0,0.10867392014260038,1
Shanna Moakler,3,2,Percentage,22.0,0.05497831054421816,10
Willa Ford,3,2,Percentage,23.0,0.10454348862171381,7
Sara Evans,3,2,Percentage,21.0,0.09628272577092511,6
Jerry Springer,3,2,Percentage,19.0,0.08802186275851555,5
Harry Hamlin,3,3,Percentage,22.0,0.06464187119118701,9
Vivica A. Fox,3,3,Percentage,27.0,0.13362722206925617,8
Monique Coleman,3,3,Percentage,27.0,0.13362700023971238,4
Joey Lawrence,3,3,Percentage,22.0,0.11206922717174153,3
Mario Lopez,3,3,Percentage,22.0,0.11206922723577291,2
Emmitt Smith,3,3,Percentage,19.0,0.09913463499057278,1
Willa Ford,3,3,Percentage,22.0,0.11206922723577291,7
Sara Evans,3,3,Percentage,25.0,0.1250040413018319,6
Jerry Springer,3,3,Percentage,21.0,0.1077575485641524,5
Vivica A. Fox,3,4,Percentage,24.0,0.06846591100811487,8
Monique Coleman,3,4,Percentage,24.0,0.12876894197415376,4
Joey Lawrence,3,4,Percentage,27.0,0.1438446456766575,3
Mario Lopez,3,4,Percentage,29.0,0.15389523862963048,2
Emmitt Smith,3,4,Percentage,24.0,0.1287689419628078,1
Willa Ford,3,4,Percentage,28.0,0.14886995229985908,7
Sara Evans,3,4,Percentage,20.0,0.1086679316373495,6
Jerry Springer,3,4,Percentage,22.0,0.11871843681142698,5
Monique Coleman,3,5,Percentage,27.0,0.15355589037527823,4
Joey Lawrence,3,5,Percentage,25.0,0.14658922473689584,3
Mario Lopez,3,5,Percentage,27.0,0.15355589037527823,2
Emmitt Smith,3,5,Percentage,27.0,0.15355589051988217,1
Willa Ford,3,5,Percentage,27.0,0.10653118448829675,7
Sara Evans,3,5,Percentage,24.0,0.14310595975218435,6
Jerry Springer,3,5,Percentage,24.0,0.14310595975218435,5
Monique Coleman,3,6,Percentage,23.0,0.20000032383285873,4
Joey Lawrence,3,6,Percentage,24.0,0.199999774052591,3
Mario Lopez,3,6,Percentage,28.0,0.19999986485958837,2
Emmitt Smith,3,6,Percentage,25.0,0.19999997779083734,1
Jerry Springer,3,6,Percentage,18.0,0.20000005946412458,5
Monique Coleman,3,7,Percentage,27.0,0.2000010625287302,4
Joey Lawrence,3,7,Percentage,28.5,0.19999968858321562,3
Mario Lopez,3,7,Percentage,28.0,0.2000002281958973,2
Emmitt Smith,3,7,Percentage,28.5,0.19999968858321562,1
Jerry Springer,3,7,Percentage,23.0,0.19999933210894122,5
Monique Coleman,3,8,Percentage,26.5,0.23802000749796015,4
Joey Lawrence,3,8,Percentage,27.0,0.2534328538011481,3
Mario Lopez,3,8,Percentage,28.5,0.2551142849100438,2
Emmitt Smith,3,8,Percentage,27.0,0.2534328537908479,1
Joey Lawrence,3,9,Percentage,29.5,0.3333333333333333,3
Mario Lopez,3,9,Percentage,29.5,0.3333333333333333,2
Emmitt Smith,3,9,Percentage,29.5,0.3333333333333333,1
Mario Lopez,3,10,Percentage,29.666600000000003,0.5,2
Emmitt Smith,3,10,Percentage,29.666600000000003,0.5,1
John Ratzenberger,4,1,Percentage,17.0,0.09090835908704907,6
Ian Ziering,4,1,Percentage,21.0,0.09090765157856319,4
Clyde Drexler,4,1,Percentage,16.0,0.09090883459522407,8
Laila Ali,4,1,Percentage,23.0,0.09090908830849656,3
Apolo Anton Ohno,4,1,Percentage,21.0,0.09090884523469848,1
Shandi Finnessey,4,1,Percentage,19.0,0.09090979581689636,10
Paulina Porizkova,4,1,Percentage,19.0,0.09090979581689636,11
Heather Mills,4,1,Percentage,18.0,0.09090907766908435,7
Billy Ray Cyrus,4,1,Percentage,13.0,0.09090906659543992,5
Joey Fatone,4,1,Percentage,24.0,0.09090898153812328,2
Leeza Gibbons,4,1,Percentage,15.0,0.0909105037595284,9
John Ratzenberger,4,2,Percentage,21.0,0.08800896077304457,6
Ian Ziering,4,2,Percentage,22.0,0.08936501731722178,4
Clyde Drexler,4,2,Percentage,18.0,0.12229511404246826,8
Laila Ali,4,2,Percentage,27.0,0.09614530137344482,3
Apolo Anton Ohno,4,2,Percentage,26.0,0.09478924485023466,1
Shandi Finnessey,4,2,Percentage,20.0,0.08665290649990755,10
Paulina Porizkova,4,2,Percentage,21.0,0.06257126740020529,11
Heather Mills,4,2,Percentage,24.0,0.09207713131412384,7
Billy Ray Cyrus,4,2,Percentage,21.0,0.08800896078621097,5
Joey Fatone,4,2,Percentage,24.0,0.09207713245415167,2
Leeza Gibbons,4,2,Percentage,21.0,0.08800896318898656,9
John Ratzenberger,4,3,Percentage,20.0,0.09587095798253686,6
Ian Ziering,4,3,Percentage,24.0,0.10226133958008375,4
Clyde Drexler,4,3,Percentage,16.0,0.12819909879820354,8
Laila Ali,4,3,Percentage,21.0,0.09746855340225492,3
Apolo Anton Ohno,4,3,Percentage,23.0,0.1006637426309113,1
Shandi Finnessey,4,3,Percentage,21.0,0.0712837394829086,10
Heather Mills,4,3,Percentage,24.0,0.10226133921366481,7
Billy Ray Cyrus,4,3,Percentage,21.0,0.09746855239019442,5
Joey Fatone,4,3,Percentage,24.0,0.10226133788048462,2
Leeza Gibbons,4,3,Percentage,24.0,0.10226133863875707,9
John Ratzenberger,4,4,Percentage,16.0,0.09587401262260671,6
Ian Ziering,4,4,Percentage,24.0,0.1247444834430981,4
Clyde Drexler,4,4,Percentage,15.0,0.09226541748715834,8
Laila Ali,4,4,Percentage,21.0,0.11391827065940535,3
Apolo Anton Ohno,4,4,Percentage,26.0,0.13196210109133433,1
Heather Mills,4,4,Percentage,23.0,0.1211354608411547,7
Billy Ray Cyrus,4,4,Percentage,21.0,0.11391784319324602,5
Joey Fatone,4,4,Percentage,28.0,0.1391801512102046,2
Leeza Gibbons,4,4,Percentage,16.0,0.06700225945179189,9
John Ratzenberger,4,5,Percentage,18.0,0.1250027475788797,6
Ian Ziering,4,5,Percentage,24.0,0.1250013201437545,4
Clyde Drexler,4,5,Percentage,13.0,0.12499940894353687,8
Laila Ali,4,5,Percentage,28.0,0.12500164813128498,3
Apolo Anton Ohno,4,5,Percentage,30.0,0.12499836446428984,1
Heather Mills,4,5,Percentage,21.0,0.12499819694740034,7
Billy Ray Cyrus,4,5,Percentage,17.0,0.12499978885600985,5
Joey Fatone,4,5,Percentage,25.0,0.12499852493484381,2
John Ratzenberger,4,6,Percentage,19.0,0.12171380321799781,6
Ian Ziering,4,6,Percentage,24.0,0.15073407807700995,4
Laila Ali,4,6,Percentage,28.0,0.17395051733134262,3
Apolo Anton Ohno,4,6,Percentage,28.0,0.17395051733134262,1
Heather Mills,4,6,Percentage,23.0,0.07818269648435192,7
Billy Ray Cyrus,4,6,Percentage,21.0,0.13332191314827044,5
Joey Fatone,4,6,Percentage,27.0,0.16814647440968455,2
John Ratzenberger,4,7,Percentage,22.5,0.09718244412221434,6
Ian Ziering,4,7,Percentage,27.0,0.18386582372140012,4
Laila Ali,4,7,Percentage,29.5,0.19762492650295302,3
Apolo Anton Ohno,4,7,Percentage,27.0,0.18386582372289206,1
Billy Ray Cyrus,4,7,Percentage,19.0,0.1398362203665142,5
Joey Fatone,4,7,Percentage,29.5,0.19762476156402634,2
Ian Ziering,4,8,Percentage,23.5,0.20000056634594612,4
Laila Ali,4,8,Percentage,26.5,0.20000052995137466,3
Apolo Anton Ohno,4,8,Percentage,29.0,0.19999871233712815,1
Billy Ray Cyrus,4,8,Percentage,19.0,0.19999967326334597,5
Joey Fatone,4,8,Percentage,27.5,0.20000051810220518,2
Ian Ziering,4,9,Percentage,29.0,0.23790153771682435,4
Laila Ali,4,9,Percentage,30.0,0.25420816339983204,3
Apolo Anton Ohno,4,9,Percentage,29.5,0.25368213537706136,1
Joey Fatone,4,9,Percentage,30.0,0.2542081635062823,2
Laila Ali,4,10,Percentage,28.333200000000005,0.32818886298141126,3
Apolo Anton Ohno,4,10,Percentage,29.3332,0.33976421065692786,1
Joey Fatone,4,10,Percentage,28.6665,0.3320469263616609,2
Cameron Mathison,5,1,Percentage,21.0,0.08363880953539751,5
Jane Seymour,5,1,Percentage,24.0,0.08730419729568824,6
Sabrina Bryan,5,1,Percentage,26.0,0.08974786416986887,7
Jennie Garth,5,1,Percentage,21.0,0.0836388095230667,4
Floyd Mayweather Jr. ,5,1,Percentage,18.0,0.07997342172445773,9
Josie Maran,5,1,Percentage,16.0,0.06775551963307636,12
Albert Reed,5,1,Percentage,21.0,0.08363880950219055,11
Helio Castroneves,5,1,Percentage,25.0,0.08852576396944539,1
Mel B,5,1,Percentage,24.0,0.08730419728408584,2
Wayne Newton,5,1,Percentage,19.0,0.08119498842051806,10
Marie Osmond,5,1,Percentage,21.0,0.08363880947117315,3
Mark Cuban,5,1,Percentage,21.0,0.08363880947103149,8
Cameron Mathison,5,2,Percentage,21.0,0.08664277782011032,5
Jane Seymour,5,2,Percentage,21.0,0.08664277782011032,6
Sabrina Bryan,5,2,Percentage,26.0,0.09956394961467803,7
Jennie Garth,5,2,Percentage,21.0,0.08664277782011032,4
Floyd Mayweather Jr. ,5,2,Percentage,21.0,0.08664277782011032,9
Albert Reed,5,2,Percentage,21.0,0.04628467947881588,11
Helio Castroneves,5,2,Percentage,27.0,0.10214818338799336,1
Mel B,5,2,Percentage,23.0,0.09181124713909573,2
Wayne Newton,5,2,Percentage,15.0,0.14033527260883538,10
Marie Osmond,5,2,Percentage,24.0,0.09439548114584123,3
Mark Cuban,5,2,Percentage,18.0,0.07889007534429936,8
Cameron Mathison,5,3,Percentage,23.0,0.10000005136447893,5
Jane Seymour,5,3,Percentage,27.0,0.10422981904112472,6
Sabrina Bryan,5,3,Percentage,27.0,0.10422981904112472,7
Jennie Garth,5,3,Percentage,26.0,0.10317246917647083,4
Floyd Mayweather Jr. ,5,3,Percentage,21.0,0.0978852025916025,9
Helio Castroneves,5,3,Percentage,24.0,0.10105718591945038,1
Mel B,5,3,Percentage,27.0,0.10422981904147151,2
Wayne Newton,5,3,Percentage,18.0,0.08519567606234027,10
Marie Osmond,5,3,Percentage,26.0,0.10317246917681762,3
Mark Cuban,5,3,Percentage,20.0,0.0968274885851185,8
Cameron Mathison,5,4,Percentage,27.0,0.11637677003219424,5
Jane Seymour,5,4,Percentage,26.0,0.1140652362119448,6
Sabrina Bryan,5,4,Percentage,30.0,0.12331234980475096,7
Jennie Garth,5,4,Percentage,27.0,0.11637677003219424,4
Floyd Mayweather Jr. ,5,4,Percentage,23.0,0.08054419778852764,9
Helio Castroneves,5,4,Percentage,27.0,0.11637714049860377,1
Mel B,5,4,Percentage,26.0,0.11406486571729928,2
Marie Osmond,5,4,Percentage,26.0,0.11406486571729928,3
Mark Cuban,5,4,Percentage,22.0,0.10481780419718585,8
Cameron Mathison,5,5,Percentage,26.0,0.12964284785950764,5
Jane Seymour,5,5,Percentage,26.0,0.12964284785950764,6
Sabrina Bryan,5,5,Percentage,28.0,0.1334522967248568,7
Jennie Garth,5,5,Percentage,25.0,0.12773799847698392,4
Helio Castroneves,5,5,Percentage,23.0,0.1239286740762804,1
Mel B,5,5,Percentage,29.0,0.1353572419254175,2
Marie Osmond,5,5,Percentage,21.0,0.12011910009277314,3
Mark Cuban,5,5,Percentage,21.0,0.10011899298467293,8
Cameron Mathison,5,6,Percentage,25.0,0.14699253481069585,5
Jane Seymour,5,6,Percentage,22.0,0.1354135351031562,6
Sabrina Bryan,5,6,Percentage,25.0,0.09874683433113195,7
Jennie Garth,5,6,Percentage,27.0,0.15471197254548363,4
Helio Castroneves,5,6,Percentage,28.0,0.1585715343205162,1
Mel B,5,6,Percentage,30.0,0.16629064915362174,2
Marie Osmond,5,6,Percentage,23.0,0.13927293973539434,3
Cameron Mathison,5,7,Percentage,25.5,0.16871212885654696,5
Jane Seymour,5,7,Percentage,25.0,0.1519171817514634,6
Jennie Garth,5,7,Percentage,26.5,0.17000422189512815,4
Helio Castroneves,5,7,Percentage,26.0,0.1693581349425903,1
Mel B,5,7,Percentage,27.0,0.17065019759929562,2
Marie Osmond,5,7,Percentage,26.0,0.1693581349549755,3
Cameron Mathison,5,8,Percentage,25.5,0.17415746359622383,5
Jennie Garth,5,8,Percentage,25.0,0.20293666931553325,4
Helio Castroneves,5,8,Percentage,28.5,0.2111592250346206,1
Mel B,5,8,Percentage,28.0,0.2099845944098783,2
Marie Osmond,5,8,Percentage,24.5,0.20176204764374409,3
Jennie Garth,5,9,Percentage,29.0,0.22647504587837208,4
Helio Castroneves,5,9,Percentage,30.0,0.2592514199033769,1
Mel B,5,9,Percentage,30.0,0.25925141999347223,2
Marie Osmond,5,9,Percentage,28.0,0.2550221142247787,3
Helio Castroneves,5,10,Percentage,27.999900000000004,0.33333327707766486,1
Mel B,5,10,Percentage,28.3332,0.3333333740986953,2
Marie Osmond,5,10,Percentage,23.0,0.3333333488236398,3
Cristian de la Fuente,6,1,Percentage,21.0,0.08333346032120229,3
Steve Guttenberg,6,1,Percentage,18.0,0.08333278754084335,10
Priscilla Presley,6,1,Percentage,24.0,0.08333413310157478,8
Marlee Matlin,6,1,Percentage,22.0,0.08333413661914371,7
Shannon Elizabeth,6,1,Percentage,21.0,0.08333210511126266,6
Marissa Jaret Winokur,6,1,Percentage,18.0,0.08333278754084335,4
Jason Taylor,6,1,Percentage,22.0,0.08333278140920408,2
Kristi Yamaguchi,6,1,Percentage,27.0,0.08333394606210147,1
Monica Seles,6,1,Percentage,15.0,0.08333346951867135,11
Penn Jillette,6,1,Percentage,16.0,0.0833341453648533,12
Adam Carolla,6,1,Percentage,15.0,0.08333346951867135,9
Mario,6,1,Percentage,24.0,0.08333277789162837,5
Cristian de la Fuente,6,2,Percentage,20.0,0.0818328659514502,3
Steve Guttenberg,6,2,Percentage,16.0,0.07425214603316699,10
Priscilla Presley,6,2,Percentage,21.0,0.08372867691248538,8
Marlee Matlin,6,2,Percentage,24.0,0.08941358579293582,7
Shannon Elizabeth,6,2,Percentage,24.0,0.08941358579294235,6
Marissa Jaret Winokur,6,2,Percentage,21.0,0.08372867691248538,4
Jason Taylor,6,2,Percentage,27.0,0.0950990815117632,2
Kristi Yamaguchi,6,2,Percentage,27.0,0.0950990815117632,1
Monica Seles,6,2,Percentage,15.0,0.05814316123211657,11
Penn Jillette,6,2,Percentage,17.0,0.076147235987501,12
Adam Carolla,6,2,Percentage,19.0,0.07993813683615023,9
Mario,6,2,Percentage,26.0,0.09320376552523969,5
Cristian de la Fuente,6,3,Percentage,25.0,0.11100101107115189,3
Steve Guttenberg,6,3,Percentage,21.0,0.061919579385641514,10
Priscilla Presley,6,3,Percentage,26.0,0.11438600958484836,8
Marlee Matlin,6,3,Percentage,21.0,0.09746129610560707,7
Shannon Elizabeth,6,3,Percentage,24.0,0.10761601220353056,6
Marissa Jaret Winokur,6,3,Percentage,19.0,0.09069157869848896,4
Jason Taylor,6,3,Percentage,23.0,0.10423129348692625,2
Kristi Yamaguchi,6,3,Percentage,27.0,0.11777104687954365,1
Adam Carolla,6,3,Percentage,21.0,0.09746101630867317,9
Mario,6,3,Percentage,21.0,0.09746115627558871,5
Cristian de la Fuente,6,4,Percentage,26.0,0.11220742394739854,3
Priscilla Presley,6,4,Percentage,22.0,0.11007398991254017,8
Marlee Matlin,6,4,Percentage,24.0,0.11114070712921856,7
Shannon Elizabeth,6,4,Percentage,28.0,0.11327414123698222,6
Marissa Jaret Winokur,6,4,Percentage,24.0,0.11114070687906064,4
Jason Taylor,6,4,Percentage,29.0,0.11380755290350124,2
Kristi Yamaguchi,6,4,Percentage,29.0,0.11380746903666296,1
Adam Carolla,6,4,Percentage,19.0,0.1034073022525127,9
Mario,6,4,Percentage,24.0,0.11114070670212292,5
Cristian de la Fuente,6,5,Percentage,23.0,0.12475702201104609,3
Priscilla Presley,6,5,Percentage,21.0,0.10856364942949796,8
Marlee Matlin,6,5,Percentage,22.0,0.1234616107825691,7
Shannon Elizabeth,6,5,Percentage,23.0,0.12475716881756596,6
Marissa Jaret Winokur,6,5,Percentage,24.0,0.12605257980461215,4
Jason Taylor,6,5,Percentage,27.0,0.12993895991081583,2
Kristi Yamaguchi,6,5,Percentage,29.0,0.13253004933307702,1
Mario,6,5,Percentage,27.0,0.12993895991081583,5
Cristian de la Fuente,6,6,Percentage,27.0,0.14356045181885432,3
Marlee Matlin,6,6,Percentage,21.0,0.1393946242167122,7
Shannon Elizabeth,6,6,Percentage,24.0,0.14280303133654582,6
Marissa Jaret Winokur,6,6,Percentage,26.0,0.14330802722180205,4
Jason Taylor,6,6,Percentage,24.0,0.14280303133654582,2
Kristi Yamaguchi,6,6,Percentage,30.0,0.14431786953042822,1
Mario,6,6,Percentage,28.0,0.14381296453911166,5
Cristian de la Fuente,6,7,Percentage,23.0,0.16446061775745124,3
Shannon Elizabeth,6,7,Percentage,25.5,0.12827930774323565,6
Marissa Jaret Winokur,6,7,Percentage,26.0,0.17504989108136024,4
Jason Taylor,6,7,Percentage,27.5,0.18034500529072556,2
Kristi Yamaguchi,6,7,Percentage,27.0,0.17857999372569838,1
Mario,6,7,Percentage,25.5,0.17328518440152907,5
Cristian de la Fuente,6,8,Percentage,28.5,0.21182984465789922,3
Marissa Jaret Winokur,6,8,Percentage,25.0,0.20252559654273944,4
Jason Taylor,6,8,Percentage,26.0,0.20518378097591589,2
Kristi Yamaguchi,6,8,Percentage,27.5,0.20917143952533415,1
Mario,6,8,Percentage,26.5,0.17128933829811135,5
Cristian de la Fuente,6,9,Percentage,28.0,0.2519123892945068,3
Marissa Jaret Winokur,6,9,Percentage,26.0,0.24426275248463702,4
Jason Taylor,6,9,Percentage,27.5,0.2516574479284898,2
Kristi Yamaguchi,6,9,Percentage,28.5,0.25216741029236633,1
Cristian de la Fuente,6,10,Percentage,26.0,0.33333335971370154,3
Jason Taylor,6,10,Percentage,28.5,0.3333333152378643,2
Kristi Yamaguchi,6,10,Percentage,30.0,0.33333332504843405,1
Ted McGinley,7,1,Percentage,18.5,0.046364742108259464,12
Cloris Leachman,7,1,Percentage,16.0,0.10050025770466417,7
Susan Lucci,7,1,Percentage,18.5,0.07219357218719556,6
Cody Linley,7,1,Percentage,20.5,0.0759146654981757,4
Misty May-Treanor,7,1,Percentage,21.0,0.07684493913942159,10
Maurice Greene,7,1,Percentage,19.5,0.07405411912330179,5
Warren Sapp,7,1,Percentage,21.5,0.07777521272876721,2
Jeffrey Ross,7,1,Percentage,12.0,0.09305807128876546,13
Toni Braxton,7,1,Percentage,22.5,0.0796357592926482,8
Lance Bass,7,1,Percentage,21.5,0.07777521252067711,3
Kim Kardashian,7,1,Percentage,18.5,0.07219357209088019,11
Rocco DiSpirito,7,1,Percentage,17.5,0.07033302411731697,9
Brooke Burke,7,1,Percentage,24.5,0.08335685219992658,1
Cloris Leachman,7,2,Percentage,15.0,0.07161011428594724,7
Susan Lucci,7,2,Percentage,21.0,0.09842553903413116,6
Cody Linley,7,2,Percentage,21.0,0.09842553896218191,4
Misty May-Treanor,7,2,Percentage,21.0,0.09842553896218191,10
Maurice Greene,7,2,Percentage,19.0,0.08948695737894911,5
Warren Sapp,7,2,Percentage,24.0,0.11183309992934806,2
Toni Braxton,7,2,Percentage,23.0,0.1073640138935724,8
Lance Bass,7,2,Percentage,20.0,0.09395630159143477,3
Kim Kardashian,7,2,Percentage,17.0,0.0425603376265109,11
Rocco DiSpirito,7,2,Percentage,16.0,0.07607956519419852,9
Brooke Burke,7,2,Percentage,24.0,0.11183299314154406,1
Cloris Leachman,7,3,Percentage,16.0,0.11111134087218077,7
Susan Lucci,7,3,Percentage,21.0,0.11111119394595038,6
Cody Linley,7,3,Percentage,21.0,0.11111071147457317,4
Maurice Greene,7,3,Percentage,24.0,0.11111091271584272,5
Warren Sapp,7,3,Percentage,25.0,0.11111049739640173,2
Toni Braxton,7,3,Percentage,22.0,0.1111112613124155,8
Lance Bass,7,3,Percentage,22.0,0.11111174378379032,3
Rocco DiSpirito,7,3,Percentage,20.0,0.11111112679400452,9
Brooke Burke,7,3,Percentage,28.0,0.11111121170484088,1
Cloris Leachman,7,4,Percentage,22.0,0.11152113606770876,7
Susan Lucci,7,4,Percentage,24.0,0.11336626730985883,6
Cody Linley,7,4,Percentage,23.0,0.11244370173846564,4
Maurice Greene,7,4,Percentage,20.0,0.10967600486614563,5
Warren Sapp,7,4,Percentage,22.0,0.11152113611971982,2
Toni Braxton,7,4,Percentage,22.0,0.11152113611971982,8
Lance Bass,7,4,Percentage,26.0,0.11521149393706805,3
Rocco DiSpirito,7,4,Percentage,18.0,0.09952793640496575,9
Brooke Burke,7,4,Percentage,26.0,0.11521118743634766,1
Cloris Leachman,7,5,Percentage,21.0,0.11997430468619519,7
Susan Lucci,7,5,Percentage,22.0,0.12248704021045473,6
Cody Linley,7,5,Percentage,28.0,0.1375641385406022,4
Maurice Greene,7,5,Percentage,27.0,0.13505140348720804,5
Warren Sapp,7,5,Percentage,25.0,0.1300259323456599,2
Toni Braxton,7,5,Percentage,22.0,0.09484580831528036,8
Lance Bass,7,5,Percentage,21.0,0.11997430468619519,3
Brooke Burke,7,5,Percentage,29.0,0.14007706772840448,1
Cloris Leachman,7,6,Percentage,15.0,0.14286047037407787,7
Susan Lucci,7,6,Percentage,23.0,0.14285626461075085,6
Cody Linley,7,6,Percentage,23.0,0.14285626461075085,4
Maurice Greene,7,6,Percentage,21.0,0.1428542009849758,5
Warren Sapp,7,6,Percentage,25.0,0.14285832907643412,2
Lance Bass,7,6,Percentage,27.0,0.14285731316893485,3
Brooke Burke,7,6,Percentage,26.0,0.14285715717407563,1
Susan Lucci,7,7,Percentage,24.0,0.11952256277301342,6
Cody Linley,7,7,Percentage,22.0,0.16442187850564205,4
Maurice Greene,7,7,Percentage,25.0,0.17789132301962915,5
Warren Sapp,7,7,Percentage,21.0,0.15993177182275808,2
