celebrity_name,season,season_rule,placement,results,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week1_total_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week2_total_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week3_total_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week4_total_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week5_total_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week6_total_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week7_total_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week8_total_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week9_total_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week10_total_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week11_total_score
Stacy Keibler,2,Ranking,3,3rd Place,8.0,6.0,8.0,,22.0,9.0,10.0,10.0,,29.0,9.0,9.0,9.0,,27.0,8.0,9.0,9.0,,26.0,10.0,10.0,10.0,,30.0,10.0,10.0,10.0,,30.0,9.0,9.0,9.5,,27.5,9.3333,9.6666,9.6666,,28.6665,,,,,0.0,,,,,0.0,,,,,0.0
Jerry Rice,2,Ranking,2,2nd Place,7.0,7.0,7.0,,21.0,7.0,8.0,8.0,,23.0,7.0,6.0,6.0,,19.0,8.0,8.0,8.0,,24.0,7.0,8.0,8.0,,23.0,8.0,7.0,8.0,,23.0,7.0,7.0,6.5,,20.5,9.0,9.0,8.6666,,26.666600000000003,,,,,0.0,,,,,0.0,,,,,0.0
Giselle Fernandez,2,Ranking,8,Eliminated Week 3,7.0,8.0,8.0,,23.0,8.0,8.0,8.0,,24.0,7.0,8.0,7.0,,22.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Master P,2,Ranking,7,Eliminated Week 4,4.0,4.0,4.0,,12.0,6.0,5.0,5.0,,16.0,6.0,4.0,4.0,,14.0,4.0,2.0,2.0,,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Drew Lachey,2,Ranking,1,1st Place,8.0,8.0,8.0,,24.0,9.0,9.0,9.0,,27.0,9.0,9.0,9.0,,27.0,9.0,9.0,10.0,,28.0,9.0,9.0,9.0,,27.0,10.0,10.0,10.0,,30.0,9.5,9.0,9.0,,27.5,9.6666,9.6666,9.6666,,28.9998,,,,,0.0,,,,,0.0,,,,,0.0
Kenny Mayne,2,Ranking,10,Eliminated Week 1,4.0,5.0,4.0,,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Harry Hamlin,3,Percentage,9,Eliminated Week 3,5.0,6.0,6.0,,17.0,7.0,7.0,7.0,,21.0,7.0,8.0,7.0,,22.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Vivica A. Fox,3,Percentage,8,Eliminated Week 4,6.0,8.0,8.0,,22.0,8.0,8.0,8.0,,24.0,9.0,9.0,9.0,,27.0,8.0,8.0,8.0,,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Monique Coleman,3,Percentage,4,Eliminated Week 8,6.0,6.0,7.0,,19.0,9.0,8.0,9.0,,26.0,9.0,9.0,9.0,,27.0,8.0,8.0,8.0,,24.0,9.0,9.0,9.0,,27.0,9.0,7.0,7.0,,23.0,9.0,9.0,9.0,,27.0,8.5,9.0,9.0,,26.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Joey Lawrence,3,Percentage,3,3rd Place,7.0,7.0,7.0,,21.0,10.0,9.0,10.0,,29.0,8.0,6.0,8.0,,22.0,9.0,9.0,9.0,,27.0,8.0,8.0,9.0,,25.0,8.0,8.0,8.0,,24.0,9.5,9.0,10.0,,28.5,9.5,8.5,9.0,,27.0,9.5,10.0,10.0,,29.5,0.0,0.0,0.0,,0.0,,,,,0.0
Mario Lopez,3,Percentage,2,2nd Place,9.0,8.0,9.0,,26.0,7.0,6.0,8.0,,21.0,8.0,6.0,8.0,,22.0,10.0,9.0,10.0,,29.0,9.0,9.0,9.0,,27.0,9.0,9.0,10.0,,28.0,9.5,9.0,9.5,,28.0,9.5,9.0,10.0,,28.5,10.0,9.5,10.0,,29.5,10.0,10.0,9.6666,,29.666600000000003,,,,,0.0
Emmitt Smith,3,Percentage,1,1st Place,8.0,8.0,8.0,,24.0,8.0,8.0,8.0,,24.0,7.0,6.0,6.0,,19.0,8.0,8.0,8.0,,24.0,9.0,9.0,9.0,,27.0,8.0,8.0,9.0,,25.0,10.0,9.5,9.0,,28.5,8.5,9.0,9.5,,27.0,9.5,10.0,10.0,,29.5,10.0,9.6666,10.0,,29.666600000000003,,,,,0.0
Shanna Moakler,3,Percentage,10,Eliminated Week 2,7.0,5.0,6.0,,18.0,8.0,7.0,7.0,,22.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Willa Ford,3,Percentage,7,Eliminated Week 5,7.0,7.0,8.0,,22.0,7.0,8.0,8.0,,23.0,7.0,7.0,8.0,,22.0,9.0,9.0,10.0,,28.0,9.0,9.0,9.0,,27.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Sara Evans,3,Percentage,6,Withdrew,5.0,5.0,5.0,,15.0,7.0,7.0,7.0,,21.0,8.0,9.0,8.0,,25.0,6.0,7.0,7.0,,20.0,8.0,8.0,8.0,,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Jerry Springer,3,Percentage,5,Eliminated Week 7,5.0,5.0,6.0,,16.0,7.0,6.0,6.0,,19.0,7.0,7.0,7.0,,21.0,7.0,7.0,8.0,,22.0,8.0,8.0,8.0,,24.0,7.0,6.0,5.0,,18.0,7.5,8.0,7.5,,23.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Tucker Carlson,3,Percentage,11,Eliminated Week 1,5.0,4.0,3.0,,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
John Ratzenberger,4,Percentage,6,Eliminated Week 7,6.0,5.0,6.0,,17.0,7.0,7.0,7.0,,21.0,7.0,6.0,7.0,,20.0,6.0,5.0,5.0,,16.0,6.0,6.0,6.0,,18.0,7.0,6.0,6.0,,19.0,7.5,7.5,7.5,,22.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Ian Ziering,4,Percentage,4,Eliminated Week 9,7.0,7.0,7.0,,21.0,7.0,8.0,7.0,,22.0,8.0,8.0,8.0,,24.0,7.0,9.0,8.0,,24.0,8.0,8.0,8.0,,24.0,8.0,8.0,8.0,,24.0,9.0,9.0,9.0,,27.0,8.0,7.5,8.0,,23.5,9.5,10.0,9.5,,29.0,0.0,0.0,0.0,,0.0,,,,,0.0
Clyde Drexler,4,Percentage,8,Eliminated Week 5,6.0,5.0,5.0,,16.0,6.0,6.0,6.0,,18.0,6.0,5.0,5.0,,16.0,6.0,4.0,5.0,,15.0,4.0,5.0,4.0,,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Laila Ali,4,Percentage,3,3rd Place,7.0,8.0,8.0,,23.0,9.0,9.0,9.0,,27.0,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,9.0,10.0,9.0,,28.0,9.0,9.0,10.0,,28.0,10.0,9.5,10.0,,29.5,9.0,8.5,9.0,,26.5,10.0,10.0,10.0,,30.0,9.6666,9.0,9.6666,,28.333200000000005,,,,,0.0
Apolo Anton Ohno,4,Percentage,1,1st Place,7.0,7.0,7.0,,21.0,8.0,9.0,9.0,,26.0,7.0,8.0,8.0,,23.0,9.0,8.0,9.0,,26.0,10.0,10.0,10.0,,30.0,9.0,9.0,10.0,,28.0,9.0,8.5,9.5,,27.0,10.0,9.0,10.0,,29.0,10.0,9.5,10.0,,29.5,9.6666,9.6666,10.0,,29.3332,,,,,0.0
Shandi Finnessey,4,Percentage,10,Eliminated Week 3,6.0,6.0,7.0,,19.0,6.0,7.0,7.0,,20.0,7.0,7.0,7.0,,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Paulina Porizkova,4,Percentage,11,Eliminated Week 2,6.0,6.0,7.0,,19.0,7.0,7.0,7.0,,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Heather Mills,4,Percentage,7,Eliminated Week 6,6.0,6.0,6.0,,18.0,8.0,8.0,8.0,,24.0,8.0,8.0,8.0,,24.0,7.0,8.0,8.0,,23.0,7.0,7.0,7.0,,21.0,7.0,8.0,8.0,,23.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Billy Ray Cyrus,4,Percentage,5,Eliminated Week 8,5.0,4.0,4.0,,13.0,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,6.0,6.0,5.0,,17.0,7.0,7.0,7.0,,21.0,6.0,6.5,6.5,,19.0,6.5,6.5,6.0,,19.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Joey Fatone,4,Percentage,2,2nd Place,8.0,8.0,8.0,,24.0,8.0,8.0,8.0,,24.0,8.0,8.0,8.0,,24.0,10.0,9.0,9.0,,28.0,8.0,8.0,9.0,,25.0,9.0,9.0,9.0,,27.0,10.0,9.5,10.0,,29.5,9.5,9.0,9.0,,27.5,10.0,10.0,10.0,,30.0,9.6666,9.3333,9.6666,,28.6665,,,,,0.0
Leeza Gibbons,4,Percentage,9,Eliminated Week 4,5.0,5.0,5.0,,15.0,7.0,7.0,7.0,,21.0,8.0,8.0,8.0,,24.0,6.0,5.0,5.0,,16.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Cameron Mathison,5,Percentage,5,Eliminated Week 8,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,8.0,7.0,8.0,,23.0,9.0,9.0,9.0,,27.0,8.0,9.0,9.0,,26.0,9.0,8.0,8.0,,25.0,8.5,8.5,8.5,,25.5,8.5,8.5,8.5,,25.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Jane Seymour,5,Percentage,6,Eliminated Week 7,8.0,8.0,8.0,,24.0,7.0,7.0,7.0,,21.0,9.0,9.0,9.0,,27.0,8.0,9.0,9.0,,26.0,8.0,9.0,9.0,,26.0,8.0,7.0,7.0,,22.0,8.0,8.5,8.5,,25.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Sabrina Bryan,5,Percentage,7,Eliminated Week 6,9.0,8.0,9.0,,26.0,9.0,8.0,9.0,,26.0,9.0,9.0,9.0,,27.0,10.0,10.0,10.0,,30.0,9.0,9.0,10.0,,28.0,9.0,8.0,8.0,,25.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Jennie Garth,5,Percentage,4,Eliminated Week 9,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,9.0,8.0,9.0,,26.0,8.0,10.0,9.0,,27.0,8.0,9.0,8.0,,25.0,9.0,9.0,9.0,,27.0,8.5,8.5,9.5,,26.5,8.5,8.5,8.0,,25.0,9.5,10.0,9.5,,29.0,0.0,0.0,0.0,,0.0,,,,,0.0
Floyd Mayweather Jr. ,5,Percentage,9,Eliminated Week 4,6.0,6.0,6.0,,18.0,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,7.0,8.0,8.0,,23.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Josie Maran,5,Percentage,12,Eliminated Week 1,6.0,5.0,5.0,,16.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Albert Reed,5,Percentage,11,Eliminated Week 2,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Helio Castroneves,5,Percentage,1,1st Place,8.0,9.0,8.0,,25.0,9.0,9.0,9.0,,27.0,8.0,8.0,8.0,,24.0,9.0,9.0,9.0,,27.0,8.0,7.0,8.0,,23.0,9.0,10.0,9.0,,28.0,9.0,8.5,8.5,,26.0,9.5,9.5,9.5,,28.5,10.0,10.0,10.0,,30.0,9.0,9.3333,9.6666,,27.999900000000004,,,,,0.0
Mel B,5,Percentage,2,2nd Place,8.0,8.0,8.0,,24.0,7.0,8.0,8.0,,23.0,9.0,9.0,9.0,,27.0,8.0,9.0,9.0,,26.0,10.0,9.0,10.0,,29.0,10.0,10.0,10.0,,30.0,9.0,9.0,9.0,,27.0,9.0,9.5,9.5,,28.0,10.0,10.0,10.0,,30.0,9.3333,9.3333,9.6666,,28.333199999999998,,,,,0.0
Wayne Newton,5,Percentage,10,Eliminated Week 3,6.0,7.0,6.0,,19.0,5.0,5.0,5.0,,15.0,6.0,6.0,6.0,,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Marie Osmond,5,Percentage,3,3rd Place,7.0,7.0,7.0,,21.0,8.0,8.0,8.0,,24.0,9.0,8.0,9.0,,26.0,9.0,9.0,8.0,,26.0,7.0,7.0,7.0,,21.0,8.0,8.0,7.0,,23.0,9.0,8.5,8.5,,26.0,8.0,8.5,8.0,,24.5,9.5,9.5,9.0,,28.0,8.0,7.5,7.5,,23.0,,,,,0.0
Mark Cuban,5,Percentage,8,Eliminated Week 5,7.0,7.0,7.0,,21.0,6.0,6.0,6.0,,18.0,6.0,7.0,7.0,,20.0,7.0,8.0,7.0,,22.0,7.0,7.0,7.0,,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Cristian de la Fuente,6,Percentage,3,3rd Place,7.0,7.0,7.0,,21.0,7.0,6.0,7.0,,20.0,8.0,8.0,9.0,,25.0,9.0,8.0,9.0,,26.0,7.0,8.0,8.0,,23.0,9.0,9.0,9.0,,27.0,7.5,7.5,8.0,,23.0,10.0,9.0,9.5,,28.5,9.5,9.0,9.5,,28.0,9.0,8.0,9.0,,26.0,,,,,0.0
Steve Guttenberg,6,Percentage,10,Eliminated Week 3,6.0,6.0,6.0,,18.0,6.0,5.0,5.0,,16.0,7.0,7.0,7.0,,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Priscilla Presley,6,Percentage,8,Eliminated Week 5,8.0,8.0,8.0,,24.0,7.0,7.0,7.0,,21.0,8.0,9.0,9.0,,26.0,7.0,7.0,8.0,,22.0,7.0,7.0,7.0,,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Marlee Matlin,6,Percentage,7,Eliminated Week 6,7.0,7.0,8.0,,22.0,8.0,8.0,8.0,,24.0,7.0,7.0,7.0,,21.0,8.0,8.0,8.0,,24.0,7.0,7.0,8.0,,22.0,7.0,7.0,7.0,,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Shannon Elizabeth,6,Percentage,6,Eliminated Week 7,7.0,7.0,7.0,,21.0,8.0,8.0,8.0,,24.0,8.0,8.0,8.0,,24.0,9.0,10.0,9.0,,28.0,8.0,8.0,7.0,,23.0,8.0,8.0,8.0,,24.0,8.5,8.5,8.5,,25.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Marissa Jaret Winokur,6,Percentage,4,Eliminated Week 9,6.0,6.0,6.0,,18.0,7.0,7.0,7.0,,21.0,6.0,7.0,6.0,,19.0,8.0,8.0,8.0,,24.0,8.0,8.0,8.0,,24.0,9.0,8.0,9.0,,26.0,9.0,8.5,8.5,,26.0,8.5,8.0,8.5,,25.0,8.5,9.0,8.5,,26.0,0.0,0.0,0.0,,0.0,,,,,0.0
Jason Taylor,6,Percentage,2,2nd Place,7.0,8.0,7.0,,22.0,9.0,9.0,9.0,,27.0,8.0,7.0,8.0,,23.0,10.0,9.0,10.0,,29.0,9.0,9.0,9.0,,27.0,8.0,8.0,8.0,,24.0,9.5,8.5,9.5,,27.5,9.0,8.0,9.0,,26.0,9.0,9.5,9.0,,27.5,9.5,9.5,9.5,,28.5,,,,,0.0
Kristi Yamaguchi,6,Percentage,1,1st Place,9.0,9.0,9.0,,27.0,9.0,9.0,9.0,,27.0,9.0,9.0,9.0,,27.0,10.0,9.0,10.0,,29.0,9.0,10.0,10.0,,29.0,10.0,10.0,10.0,,30.0,9.5,8.0,9.5,,27.0,8.5,9.5,9.5,,27.5,9.5,9.0,10.0,,28.5,10.0,10.0,10.0,,30.0,,,,,0.0
Monica Seles,6,Percentage,11,Eliminated Week 2,5.0,5.0,5.0,,15.0,5.0,5.0,5.0,,15.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Penn Jillette,6,Percentage,12,Eliminated Week 2,5.0,6.0,5.0,,16.0,6.0,6.0,5.0,,17.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Adam Carolla,6,Percentage,9,Eliminated Week 4,5.0,5.0,5.0,,15.0,6.0,7.0,6.0,,19.0,7.0,7.0,7.0,,21.0,6.0,7.0,6.0,,19.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Mario,6,Percentage,5,Eliminated Week 8,8.0,8.0,8.0,,24.0,9.0,8.0,9.0,,26.0,7.0,6.0,8.0,,21.0,8.0,7.0,9.0,,24.0,9.0,9.0,9.0,,27.0,9.0,9.0,10.0,,28.0,8.5,8.5,8.5,,25.5,9.0,8.5,9.0,,26.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Ted McGinley,7,Percentage,12,Eliminated Week 1,6.0,6.0,6.5,,18.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Cloris Leachman,7,Percentage,7,Eliminated Week 6,6.0,5.0,5.0,,16.0,5.0,5.0,5.0,,15.0,6.0,5.0,5.0,,16.0,8.0,7.0,7.0,,22.0,7.0,7.0,7.0,,21.0,5.0,5.0,5.0,,15.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Susan Lucci,7,Percentage,6,Eliminated Week 7,6.0,6.0,6.5,,18.5,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,8.0,8.0,8.0,,24.0,7.0,7.0,8.0,,22.0,8.0,8.0,7.0,,23.0,8.0,8.0,8.0,,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
