celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,season_rule,week1_total_score,week1_avg_score,week1_judge_count,week2_total_score,week2_avg_score,week2_judge_count,week3_total_score,week3_avg_score,week3_judge_count,week4_total_score,week4_avg_score,week4_judge_count,week5_total_score,week5_avg_score,week5_judge_count,week6_total_score,week6_avg_score,week6_judge_count,week7_total_score,week7_avg_score,week7_judge_count,week8_total_score,week8_avg_score,week8_judge_count,week9_total_score,week9_avg_score,week9_judge_count,week10_total_score,week10_avg_score,week10_judge_count,week11_total_score,week11_avg_score,week11_judge_count,cumulative_total_score,overall_avg_score,score_trend,is_winner,eliminated_week,final_rank,industry_encoded,country_encoded,season_rule_encoded,active_weeks
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,Ranking,22.0,7.333333333333333,3,29.0,9.666666666666666,3,27.0,9.0,3,26.0,8.666666666666666,3,30.0,10.0,3,30.0,10.0,3,27.5,9.166666666666666,3,28.6665,9.5555,3,0.0,,0,0.0,,0,0.0,,0,220.16649999999998,9.173604166666667,0.20700595238095243,False,,3.0,2,22,0,8
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,Ranking,21.0,7.0,3,23.0,7.666666666666667,3,19.0,6.333333333333333,3,24.0,8.0,3,23.0,7.666666666666667,3,23.0,7.666666666666667,3,20.5,6.833333333333333,3,26.666600000000003,8.888866666666667,3,0.0,,0,0.0,,0,0.0,,0,180.16660000000002,7.506941666666667,0.1514531746031746,False,,2.0,2,22,0,8
Giselle Fernandez,Jonathan Roberts,News Anchor,Unknown,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,Ranking,23.0,7.666666666666667,3,24.0,8.0,3,22.0,7.333333333333333,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,69.0,2.875,-0.16666666666666696,False,3.0,,16,13,0,3
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,Ranking,12.0,4.0,3,16.0,5.333333333333333,3,14.0,4.666666666666667,3,8.0,2.6666666666666665,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,50.0,2.083333333333333,-0.4666666666666666,False,4.0,,21,22,0,4
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,Ranking,24.0,8.0,3,27.0,9.0,3,27.0,9.0,3,28.0,9.333333333333334,3,27.0,9.0,3,30.0,10.0,3,27.5,9.166666666666666,3,28.9998,9.6666,3,0.0,,0,0.0,,0,0.0,,0,219.4998,9.145825,0.18055000000000002,True,,1.0,21,22,0,8
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,Ranking,13.0,4.333333333333333,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,13.0,0.5416666666666666,0.0,False,1.0,,24,22,0,1
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,17.0,5.666666666666667,3,21.0,7.0,3,22.0,7.333333333333333,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,60.0,2.0,0.833333333333333,False,3.0,,0,22,1,3
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,22.0,7.333333333333333,3,24.0,8.0,3,27.0,9.0,3,24.0,8.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,97.0,3.233333333333333,0.3000000000000001,False,4.0,,0,22,1,4
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,19.0,6.333333333333333,3,26.0,8.666666666666666,3,27.0,9.0,3,24.0,8.0,3,27.0,9.0,3,23.0,7.666666666666667,3,27.0,9.0,3,26.5,8.833333333333334,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,199.5,6.65,0.1924603174603176,False,8.0,,0,22,1,8
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,0.0,0.0,0.0,,,,,,Percentage,21.0,7.0,3,29.0,9.666666666666666,3,22.0,7.333333333333333,3,27.0,9.0,3,25.0,8.333333333333334,3,24.0,8.0,3,28.5,9.5,3,27.0,9.0,3,29.5,9.833333333333334,3,0.0,0.0,3,0.0,,0,233.0,7.7666666666666675,0.2111111111111112,False,,3.0,0,22,1,9
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,Percentage,26.0,8.666666666666666,3,21.0,7.0,3,22.0,7.333333333333333,3,29.0,9.666666666666666,3,27.0,9.0,3,28.0,9.333333333333334,3,28.0,9.333333333333334,3,28.5,9.5,3,29.5,9.833333333333334,3,29.666600000000003,9.888866666666667,3,0.0,,0,268.6666,8.955553333333334,0.24848363636363643,False,,2.0,0,22,1,10
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,Percentage,24.0,8.0,3,24.0,8.0,3,19.0,6.333333333333333,3,24.0,8.0,3,27.0,9.0,3,25.0,8.333333333333334,3,28.5,9.5,3,27.0,9.0,3,29.5,9.833333333333334,3,29.666600000000003,9.888866666666667,3,0.0,,0,257.6666,8.588886666666667,0.2848472727272728,True,,1.0,2,22,1,10
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,18.0,6.0,3,22.0,7.333333333333333,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,40.0,1.3333333333333333,1.333333333333333,False,2.0,,13,22,1,2
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,22.0,7.333333333333333,3,23.0,7.666666666666667,3,22.0,7.333333333333333,3,28.0,9.333333333333334,3,27.0,9.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,122.0,4.066666666666667,0.5000000000000001,False,5.0,,21,22,1,5
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,15.0,5.0,3,21.0,7.0,3,25.0,8.333333333333334,3,20.0,6.666666666666667,3,24.0,8.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,105.0,3.5,0.5666666666666668,False,-1.0,,21,22,1,5
Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,16.0,5.333333333333333,3,19.0,6.333333333333333,3,21.0,7.0,3,22.0,7.333333333333333,3,24.0,8.0,3,18.0,6.0,3,23.0,7.666666666666667,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,143.0,4.7666666666666675,0.261904761904762,False,7.0,,25,8,1,7
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,12.0,4.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,12.0,0.4,0.0,False,1.0,,25,22,1,1
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,17.0,5.666666666666667,3,21.0,7.0,3,20.0,6.666666666666667,3,16.0,5.333333333333333,3,18.0,6.0,3,19.0,6.333333333333333,3,22.5,7.5,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,133.5,4.45,0.12499999999999993,False,7.0,,0,22,1,7
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,Percentage,21.0,7.0,3,22.0,7.333333333333333,3,24.0,8.0,3,24.0,8.0,3,24.0,8.0,3,24.0,8.0,3,27.0,9.0,3,23.5,7.833333333333333,3,29.0,9.666666666666666,3,0.0,0.0,3,0.0,,0,218.5,7.283333333333333,0.23611111111111108,False,9.0,,0,22,1,9
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,16.0,5.333333333333333,3,18.0,6.0,3,16.0,5.333333333333333,3,15.0,5.0,3,13.0,4.333333333333333,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,78.0,2.5999999999999996,-0.30000000000000004,False,5.0,,2,22,1,5
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,Percentage,23.0,7.666666666666667,3,27.0,9.0,3,21.0,7.0,3,21.0,7.0,3,28.0,9.333333333333334,3,28.0,9.333333333333334,3,29.5,9.833333333333334,3,26.5,8.833333333333334,3,30.0,10.0,3,28.333200000000005,9.444400000000002,3,0.0,,0,262.33320000000003,8.74444,0.24646222222222236,False,,3.0,2,22,1,10
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,Percentage,21.0,7.0,3,26.0,8.666666666666666,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,30.0,10.0,3,28.0,9.333333333333334,3,27.0,9.0,3,29.0,9.666666666666666,3,29.5,9.833333333333334,3,29.3332,9.777733333333334,3,0.0,,0,268.8332,8.961106666666666,0.2636339393939394,True,,1.0,2,22,1,10
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,19.0,6.333333333333333,3,20.0,6.666666666666667,3,21.0,7.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,60.0,2.0,0.3333333333333335,False,3.0,,3,22,1,3
Paulina Porizkova,Alec Mazo,Model,Unknown,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,19.0,6.333333333333333,3,21.0,7.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,40.0,1.3333333333333333,0.666666666666667,False,2.0,,13,7,1,2
Heather Mills,Jonathan Roberts,Model,Unknown,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,18.0,6.0,3,24.0,8.0,3,24.0,8.0,3,23.0,7.666666666666667,3,21.0,7.0,3,23.0,7.666666666666667,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,133.0,4.433333333333334,0.1428571428571429,False,6.0,,13,8,1,6
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,5.0,,7.0,7.0,7.0,,6.0,6.5,6.5,,6.5,6.5,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,Percentage,13.0,4.333333333333333,3,21.0,7.0,3,21.0,7.0,3,21.0,7.0,3,17.0,5.666666666666667,3,21.0,7.0,3,19.0,6.333333333333333,3,19.0,6.333333333333333,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,152.0,5.066666666666667,0.11111111111111109,False,8.0,,21,22,1,8
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,Percentage,24.0,8.0,3,24.0,8.0,3,24.0,8.0,3,28.0,9.333333333333334,3,25.0,8.333333333333334,3,27.0,9.0,3,29.5,9.833333333333334,3,27.5,9.166666666666666,3,30.0,10.0,3,28.6665,9.5555,3,0.0,,0,267.6665,8.922216666666667,0.21817878787878792,False,,2.0,21,22,1,10
